artist;song;duration_ms;year;tempo;genre;energy;key;loudness
MGMT;Kids;302840;2007;122.961;rock;0.931;9;-3.871
Arctic Monkeys;When The Sun Goes Down;202133;2006;169.152;rock;0.875;11;-4.758
Demi Lovato;Give Your Heart a Break;205346;2011;123.008;pop;0.695;6;-3.218
Imagine Dragons;Radioactive;186813;2012;136.245;rock;0.784;9;-3.686
Justin Timberlake;What Goes Around.../...Comes Around (Interlude);448573;2006;76.0;pop;0.723;7;-4.751
Papa Roach;Scars;208199;2004;89.782;rock, metal;0.929;11;-3.295
Panic! At The Disco;High Hopes;190946;2018;82.014;rock;0.904;5;-2.729
Beyoncé;7/11;213506;2014;136.024;pop, R&B;0.705;9;-5.137
Jagged Edge;He Can't Love U;244053;2000;126.279;hip hop, pop, R&B;0.836;8;-3.972
Bruno Mars;Locked out of Heaven;233478;2012;143.994;pop;0.698;5;-4.165
Black Eyed Peas;Imma Be;257560;2009;92.035;hip hop, pop;0.517;0;-6.963
Major Lazer;Lean On (feat. MØ & DJ Snake);176561;2015;98.007;hip hop, pop, Dance/Electronic;0.809;7;-3.081
Just Jack;Starz In Their Eyes;295933;2006;123.802;Dance/Electronic;0.8;3;-6.731
Selena Gomez;Fetish (feat. Gucci Mane);186112;2017;123.013;pop;0.618;2;-4.424
Frankie J;Don't Wanna Try;245293;2003;130.127;hip hop, pop, R&B;0.433;5;-7.577
Madcon;Beggin (original version);216146;2007;129.023;hip hop, pop;0.8;4;-5.144
Jennifer Lopez;Love Don't Cost a Thing;221226;2001;97.577;hip hop, pop, R&B;0.842;4;-5.115
Alicia Keys;Empire State of Mind (Part II) Broken Down;216480;2009;92.923;pop, R&B;0.368;6;-7.784
Beyoncé;Check On It (feat. Slim Thug);211186;2006;166.104;pop, R&B;0.887;7;-3.887
99 Souls;The Girl Is Mine;216613;2016;118.991;Dance/Electronic;0.943;9;-3.6
The Weeknd;Starboy;230453;2016;186.054;pop, R&B;0.594;7;-7.028
blink-182;All The Small Things;167066;1999;148.726;rock, pop;0.897;0;-4.918
Ashanti;Baby;265706;2002;157.596;hip hop, pop, R&B;0.58;4;-5.757
Sean Paul;Temperature;218573;2005;125.04;hip hop, pop;0.6;0;-4.675
Jason Aldean;Dirt Road Anthem;229413;2010;127.037;country;0.739;2;-5.068
Anne-Marie;Alarm;205593;2016;146.928;pop, Dance/Electronic;0.589;0;-5.093
Lana Del Rey;Born To Die;286253;2012;75.223;pop;0.636;4;-6.591
Cherish;Do It To It;226293;2006;74.007;hip hop, pop, R&B;0.67;2;-5.559
Red Hot Chili Peppers;The Adventures of Rain Dance Maggie;282400;2011;106.254;rock;0.734;4;-4.523
Trey Songz;Na Na;231906;2015;96.975;hip hop, pop, R&B;0.476;9;-6.253
3OH!3;Starstrukk;203093;2010;139.896;hip hop, pop, rock;0.795;11;-6.086
Sugababes;Push The Button;218093;2005;126.016;pop, R&B;0.66;8;-5.096
Chingy;Right Thurr;250746;2003;92.074;hip hop, pop, R&B;0.749;2;-3.977
Seether;Fake It;193893;2007;132.078;rock, metal;0.95;8;-3.509
Chord Overstreet;Hold On;198853;2017;119.949;pop, Folk/Acoustic;0.443;2;-9.681
JAY-Z;Numb / Encore;205733;2004;107.045;hip hop;0.793;2;-4.254
Nicki Minaj;Super Bass;200013;2010;126.991;hip hop, pop;0.861;11;-4.339
A$AP Rocky;F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);233786;2013;95.967;hip hop;0.693;1;-6.87
Baby Boy Da Prince;The Way I Live - Main Explicit;324906;2006;90.02;hip hop, pop;0.438;0;-7.562
Nelly Furtado;Turn Off The Light;276106;2000;180.184;hip hop, pop, latin;0.679;2;-6.26
Bruno Mars;Grenade;222091;2010;110.444;pop;0.558;2;-7.273
Dido;White Flag;240040;2003;169.951;pop;0.525;5;-6.823
Lorde;Team;193058;2013;99.961;pop, Dance/Electronic;0.578;6;-7.436
Dua Lipa;Don't Start Now;183290;2019;123.941;pop;0.793;11;-4.521
Kanye West;All Of The Lights;299613;2010;142.113;hip hop;0.803;1;-3.284
Coldplay;A Sky Full of Stars;267866;2014;124.97;rock, pop;0.675;6;-6.474
Katy Perry;California Gurls;234653;2012;125.014;pop;0.754;0;-3.729
2Pac;Until The End Of Time;266506;2001;96.976;hip hop;0.706;8;-6.665
Black Eyed Peas;My Humps;326960;2005;123.95;hip hop, pop;0.682;1;-5.924
Travis Scott;Antidote;262693;2015;131.05;hip hop, Dance/Electronic;0.526;1;-5.046
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Sisqo;Incomplete;274226;1999;119.311;hip hop, pop, R&B;0.443;1;-7.693
PSY;Gangnam Style (강남스타일);219493;2012;132.067;pop;0.937;11;-2.871
Britney Spears;Overprotected - Radio Edit;198600;2001;95.992;pop;0.894;0;-1.73
50 Cent;Outta Control - Remix;247506;2005;92.029;hip hop, pop;0.599;8;-5.996
Travis Scott;goosebumps;243836;2016;130.049;hip hop, Dance/Electronic;0.728;7;-3.37
Anastacia;Sick and Tired;212266;1999;99.848;pop;0.868;0;-4.552
Shaggy;It Wasn't Me;227600;2000;94.759;hip hop, pop;0.606;0;-4.596
DNCE;Cake By The Ocean;219146;2016;119.002;pop;0.753;4;-5.446
Chris Brown;Kiss Kiss (feat. T-Pain);250666;2007;140.043;hip hop, pop, R&B;0.658;10;-3.386
Sam Sparro;Black & Gold - Radio Edit;212360;2008;135.968;pop, Dance/Electronic;0.703;4;-5.65
